step,timestamp,vehicle_count,cluster_count,noise_count,cluster_head_count,trusted_count,unknown_count,malicious_count,emergency_messages,delivered_messages,forwarded,duplicates,routing_hops,auth_success,auth_failures,pdr,avg_delay_ms,broadcast_overhead,ch_changes,throughput_kbps,auth_success_rate,avg_legitimate_trust,avg_malicious_trust,avg_cluster_lifetime,ch_change_rate,avg_intra_cluster_connectivity,cluster_stability_score,recluster_count,reclustering_skipped_count,bls_sign_time_ms,bls_individual_verify_time_ms,bls_batch_verify_time_ms,bls_batch_avg_size,bls_signature_size_bytes,bls_verifications_total,bls_batches_total,bls_auth_success,bls_auth_failures
0,1787553027.7623944,1,0,1,0,0,1,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0,0.0,100.0,0.58,0.15,0.0,0.0,1.0,1.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,1787553027.7753124,3,1,1,1,0,3,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0,0.0,100.0,0.58,0.58,1.0,0.0,1.0,1.0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0
2,1787553027.7835023,6,2,2,2,0,6,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0,0.0,100.0,0.58,0.58,1.5,0.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0,0,0,0,0
3,1787553027.7914026,8,2,4,2,0,8,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0,0.0,100.0,0.59,0.59,2.5,0.0,1.0,1.0,4,0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,1787553027.7989721,11,2,7,2,0,11,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0,0.0,100.0,0.59,0.59,3.5,0.0,1.0,1.0,5,0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,1787553027.8091824,13,2,9,2,0,13,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0,0.0,100.0,0.59,0.59,4.5,0.0,1.0,1.0,5,1,0.0,0.0,0.0,0.0,0,0,0,0,0
6,1787553027.8182166,15,2,11,2,0,15,0,0,0,0,0,0,0,0,100.0,0.0,0.0,2,0.0,100.0,0.59,0.59,3.67,0.0,1.0,1.0,6,1,0.0,0.0,0.0,0.0,0,0,0,0,0
7,1787553027.834067,18,2,14,2,0,18,0,0,0,0,0,0,0,0,100.0,0.0,0.0,2,0.0,100.0,0.59,0.59,4.33,0.0,1.0,1.0,6,2,0.0,0.0,0.0,0.0,0,0,0,0,0
8,1787553027.854008,21,4,13,4,0,21,0,0,0,0,0,0,0,0,100.0,0.0,0.0,4,0.0,100.0,0.59,0.59,2.83,0.0,1.0,1.0,7,2,0.0,0.0,0.0,0.0,0,0,0,0,0
9,1787553027.8731334,23,4,15,4,0,23,0,0,0,0,0,0,0,0,100.0,0.0,0.0,4,0.0,100.0,0.59,0.59,3.5,0.0,1.0,1.0,7,3,0.0,0.0,0.0,0.0,0,0,0,0,0
10,1787553027.8918982,26,4,18,4,0,26,0,0,0,0,0,0,0,0,100.0,0.0,0.0,4,0.0,100.0,0.59,0.59,4.17,0.0,1.0,1.0,7,4,0.0,0.0,0.0,0.0,0,0,0,0,0
11,1787553027.9144495,28,4,17,4,0,28,0,0,0,0,0,0,0,0,100.0,0.0,0.0,8,0.0,100.0,0.59,0.6,3.22,0.025,1.0,0.9925,8,4,0.0,0.0,0.0,0.0,0,0,0,0,0
12,1787553027.9382937,31,4,20,4,0,31,0,0,0,0,0,0,0,0,100.0,0.0,0.0,8,0.0,100.0,0.59,0.6,3.67,0.025,1.0,0.9925,8,5,0.0,0.0,0.0,0.0,0,0,0,0,0
13,1787553027.9659207,33,4,22,4,0,33,0,0,0,0,0,0,0,0,100.0,0.0,0.0,8,0.0,100.0,0.6,0.6,4.11,0.025,1.0,0.9925,8,6,0.0,0.0,0.0,0.0,0,0,0,0,0
14,1787553027.9968452,36,8,15,8,0,36,0,0,0,0,0,0,0,0,100.0,0.0,0.0,12,0.0,100.0,0.6,0.59,3.21,0.0125,1.0,0.9962,9,6,0.0,0.0,0.0,0.0,0,0,0,0,0
15,1787553028.0207114,38,8,17,8,0,38,0,0,0,0,0,0,0,0,100.0,0.0,0.0,12,0.0,100.0,0.6,0.6,3.79,0.0125,1.0,0.9962,9,7,0.0,0.0,0.0,0.0,0,0,0,0,0
16,1787553028.0439239,41,8,20,8,0,41,0,0,0,0,0,0,0,0,100.0,0.0,0.0,12,0.0,100.0,0.6,0.6,4.36,0.0125,1.0,0.9962,9,8,0.0,0.0,0.0,0.0,0,0,0,0,0
17,1787553028.0754027,43,8,22,8,0,43,0,0,0,0,0,0,0,0,100.0,0.0,0.0,12,0.0,100.0,0.6,0.6,4.93,0.0125,0.9167,0.9379,9,9,0.0,0.0,0.0,0.0,0,0,0,0,0
18,1787553028.101208,44,8,23,8,0,44,0,0,0,0,0,0,0,0,100.0,0.0,0.0,12,0.0,100.0,0.6,0.6,5.5,0.0125,0.9167,0.9379,9,10,0.0,0.0,0.0,0.0,0,0,0,0,0
19,1787553028.1311522,46,10,20,10,0,46,0,0,0,0,0,0,0,0,100.0,0.0,0.0,20,0.0,100.0,0.6,0.6,4.35,0.04,1.0,0.988,10,10,0.0,0.0,0.0,0.0,0,0,0,0,0
